Depth (cm),Age (ka BP),Ti/Ca
540,39.012,0.333
540.5,39.023,0.304
541,39.034,0.262
541.5,39.044,0.249
542,39.055,0.280
542.5,39.066,0.254
543,39.077,0.260
543.5,39.087,0.244
544,39.098,0.253
544.5,39.109,0.229
545,39.120,0.245
545.5,39.130,0.246
546,39.141,0.247
546.5,39.152,0.251
547,39.163,0.247
547.5,39.173,0.254
548,39.184,0.264
548.5,39.195,0.266
549,39.206,0.263
549.5,39.216,0.261
550,39.227,0.281
550.5,39.257,0.274
551,39.287,0.280
551.5,39.317,0.241
552,39.347,0.254
552.5,39.377,0.250
553,39.407,0.242
553.5,39.437,0.245
554,39.467,0.282
554.5,39.497,0.293
555,39.528,0.289
555.5,39.558,0.197
556,39.588,0.231
556.5,39.618,0.244
557,39.648,0.229
557.5,39.678,0.198
558,39.708,0.209
558.5,39.738,0.203
559,39.768,0.211
559.5,39.798,0.183
560,39.828,0.178
560.5,39.858,0.187
561,39.888,0.172
561.5,39.918,0.166
562,39.948,0.153
562.5,39.978,0.079
563,40.008,0.115
563.5,40.038,0.138
564,40.068,0.133
564.5,40.098,0.124
565,40.128,0.123
565.5,40.159,0.135
566,40.189,0.143
566.5,40.219,0.141
567,40.249,0.114
567.5,40.279,0.106
568,40.309,0.108
568.5,40.339,0.109
569,40.369,0.116
569.5,40.399,0.117
570,40.429,0.124
570.5,40.459,0.117
571,40.489,0.114
571.5,40.519,0.115
572,40.549,0.125
572.5,40.579,0.110
573,40.609,0.124
573.5,40.639,0.143
574,40.669,0.190
574.5,40.699,0.176
575,40.730,0.135
575.5,40.760,0.128
576,40.790,0.124
576.5,40.820,0.126
577,40.850,0.137
577.5,40.880,0.135
578,40.910,0.140
578.5,40.940,0.143
579,40.970,0.132
579.5,41.000,0.133
580,41.030,0.122
580.5,41.060,0.119
581,41.090,0.121
581.5,41.120,0.116
582,41.150,0.116
582.5,41.180,0.114
583,41.210,0.114
583.5,41.240,0.103
584,41.270,0.098
584.5,41.300,0.096
585,41.330,0.102
585.5,41.361,0.098
586,41.391,0.102
586.5,41.421,0.097
587,41.451,0.098
587.5,41.481,0.099
588,41.511,0.096
588.5,41.541,0.093
589,41.571,0.096
589.5,41.601,0.090
590,41.631,0.092
590.5,41.661,0.098
591,41.691,0.099
591.5,41.721,0.099
592,41.751,0.098
592.5,41.781,0.111
593,41.811,0.105
593.5,41.841,0.113
594,41.871,0.115
594.5,41.901,0.109
595,41.932,0.104
595.5,41.962,0.109
596,41.992,0.130
596.5,42.022,0.129
597,42.052,0.117
597.5,42.082,0.107
598,42.112,0.129
598.5,42.142,0.126
599,42.172,0.139
599.5,42.202,0.146
600,42.232,0.148
600.5,42.262,0.145
601,42.292,0.156
601.5,42.322,0.150
602,42.352,0.155
602.5,42.382,0.186
603,42.412,0.196
603.5,42.442,0.212
604,42.472,0.210
604.5,42.502,0.212
605,42.532,0.284
605.5,42.563,0.287
606,42.593,0.282
606.5,42.623,0.257
607,42.653,0.319
607.5,42.683,0.259
608,42.713,0.234
608.5,42.743,0.221
609,42.773,0.234
609.5,42.803,0.215
610,42.833,0.225
610.5,42.863,0.214
611,42.893,0.180
611.5,42.923,0.181
612,42.953,0.179
612.5,42.983,0.178
613,43.013,0.189
613.5,43.043,0.194
614,43.073,0.187
614.5,43.103,0.159
615,43.134,0.126
615.5,43.164,0.136
616,43.194,0.123
616.5,43.224,0.130
617,43.254,0.139
617.5,43.284,0.154
618,43.314,0.129
618.5,43.344,0.117
619,43.374,0.117
619.5,43.404,0.123
620,43.434,0.106
620.5,43.464,0.098
621,43.494,0.109
621.5,43.524,0.108
622,43.554,0.099
622.5,43.584,0.113
623,43.614,0.102
623.5,43.644,0.099
624,43.674,0.098
624.5,43.704,0.101
625,43.734,0.093
625.5,43.765,0.091
626,43.795,0.089
626.5,43.825,0.096
627,43.855,0.092
627.5,43.885,0.095
628,43.915,0.090
628.5,43.945,0.091
629,43.975,0.089
629.5,44.005,0.100
630,44.035,0.092
630.5,44.050,0.097
631,44.064,0.095
631.5,44.079,0.094
632,44.094,0.094
632.5,44.109,0.094
633,44.123,0.095
633.5,44.138,0.096
634,44.153,0.098
634.5,44.167,0.098
635,44.182,0.094
635.5,44.197,0.119
636,44.212,0.117
636.5,44.226,0.117
637,44.241,0.120
637.5,44.256,0.119
638,44.270,0.122
638.5,44.285,0.125
639,44.300,0.128
639.5,44.314,0.117
640,44.329,0.118
640.5,44.344,0.128
641,44.359,0.134
641.5,44.373,0.133
642,44.388,0.129
642.5,44.403,0.134
643,44.417,0.132
643.5,44.432,0.134
644,44.447,0.143
644.5,44.462,0.137
645,44.476,0.140
645.5,44.491,0.144
646,44.506,0.144
646.5,44.520,0.145
647,44.535,0.143
647.5,44.550,0.208
648,44.564,0.195
648.5,44.579,0.155
649,44.594,0.105
649.5,44.609,0.158
650,44.623,0.204
650.5,44.638,0.190
651,44.653,0.229
651.5,44.667,0.233
652,44.682,0.238
652.5,44.697,0.212
653,44.712,0.206
653.5,44.726,0.192
654,44.741,0.210
654.5,44.756,0.216
655,44.770,0.230
655.5,44.785,0.198
656,44.800,0.226
656.5,44.815,0.226
657,44.829,0.225
657.5,44.844,0.251
658,44.859,0.252
658.5,44.873,0.246
659,44.888,0.212
659.5,44.903,0.266
660,44.918,0.266
660.5,44.932,0.260
661,44.947,0.280
661.5,44.962,0.333
662,44.976,0.361
662.5,44.991,0.273
663,45.006,0.259
663.5,45.020,0.245
664,45.035,0.234
664.5,45.050,0.237
665,45.065,0.222
665.5,45.079,0.213
666,45.094,0.213
666.5,45.109,0.208
667,45.123,0.202
667.5,45.138,0.198
668,45.153,0.203
668.5,45.168,0.211
669,45.182,0.209
669.5,45.197,0.214
670,45.212,0.210
670.5,45.226,0.229
671,45.241,0.219
671.5,45.256,0.287
672,45.270,0.210
672.5,45.285,0.153
673,45.300,0.114
673.5,45.315,0.127
674,45.329,0.122
674.5,45.344,0.123
675,45.359,0.121
675.5,45.373,0.122
676,45.388,0.120
676.5,45.403,0.119
677,45.418,0.113
677.5,45.432,0.112
678,45.447,0.114
678.5,45.462,0.112
679,45.476,0.104
679.5,45.491,0.106
