lat,lon,sampleID,siteID,entityID,elevation,d18,d13,age,Ref
-5.92,-77.35,42151,25,94,114,-7.4274,-10.0221,455,van Breukelen et al. 2008; EPSL
-5.92,-77.35,42152,25,94,114,-7.65657,-10.12614,459,van Breukelen et al. 2008; EPSL
-5.92,-77.35,42153,25,94,114,-7.29722,-9.6181,462,van Breukelen et al. 2008; EPSL
-5.92,-77.35,42154,25,94,114,-7.65289,-9.9529,465,van Breukelen et al. 2008; EPSL
-5.92,-77.35,42155,25,94,114,-7.22989,-9.3171,469,van Breukelen et al. 2008; EPSL
-5.92,-77.35,42156,25,94,114,-7.58622,-9.7941,472,van Breukelen et al. 2008; EPSL
-5.92,-77.35,42157,25,94,114,-7.33743,-9.58529,476,van Breukelen et al. 2008; EPSL
-5.92,-77.35,42158,25,94,114,-7.28056,-9.6035,479,van Breukelen et al. 2008; EPSL
-5.92,-77.35,42159,25,94,114,-7.62344,-9.9826,482,van Breukelen et al. 2008; EPSL
-5.92,-77.35,42160,25,94,114,-7.19775,-9.684,486,van Breukelen et al. 2008; EPSL
-5.92,-77.35,42161,25,94,114,-7.444,-9.30856,489,van Breukelen et al. 2008; EPSL
-5.92,-77.35,42162,25,94,114,-7.58733,-9.575,493,van Breukelen et al. 2008; EPSL
-5.92,-77.35,42163,25,94,114,-7.291,-9.406,496,van Breukelen et al. 2008; EPSL
-5.92,-77.35,42164,25,94,114,-7.308,-9.5297,499,van Breukelen et al. 2008; EPSL
-5.92,-77.35,42165,25,94,114,-7.47938,-9.5165,503,van Breukelen et al. 2008; EPSL
-5.92,-77.35,42166,25,94,114,-7.2431,-9.2309,506,van Breukelen et al. 2008; EPSL
-5.92,-77.35,42167,25,94,114,-7.3099,-9.2642,510,van Breukelen et al. 2008; EPSL
-5.92,-77.35,42168,25,94,114,-7.05544,-9.0812,513,van Breukelen et al. 2008; EPSL
-5.92,-77.35,42169,25,94,114,-7.4074,-9.2235,516,van Breukelen et al. 2008; EPSL
-5.92,-77.35,42170,25,94,114,-7.4101,-9.3233,520,van Breukelen et al. 2008; EPSL
-5.92,-77.35,42171,25,94,114,-7.41075,-9.34978,523,van Breukelen et al. 2008; EPSL
-5.92,-77.35,42172,25,94,114,-7.29778,-9.2441,527,van Breukelen et al. 2008; EPSL
